"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Sanyam Lodha\FlutterProjects\btp\lib\main.dart", "Dart", 26, 0, 4, 30
"c:\Users\Sanyam Lodha\FlutterProjects\btp\lib\models\disease_model.dart", "Dart", 59, 0, 2, 61
"c:\Users\Sanyam Lodha\FlutterProjects\btp\lib\screens\disease.dart", "Dart", 82, 12, 4, 98
"c:\Users\Sanyam Lodha\FlutterProjects\btp\lib\screens\disease_info.dart", "Dart", 22, 0, 4, 26
"c:\Users\Sanyam Lodha\FlutterProjects\btp\lib\screens\home.dart", "Dart", 437, 1, 9, 447
"c:\Users\Sanyam Lodha\FlutterProjects\btp\lib\screens\screen_one.dart", "Dart", 36, 0, 3, 39
"c:\Users\Sanyam Lodha\FlutterProjects\btp\lib\screens\symptom_checker.dart", "Dart", 239, 3, 4, 246
"c:\Users\Sanyam Lodha\FlutterProjects\btp\lib\screens\symptoms.dart", "Dart", 158, 6, 9, 173
"c:\Users\Sanyam Lodha\FlutterProjects\btp\lib\screens\symptoms_list.dart", "Dart", 160, 0, 12, 172
"c:\Users\Sanyam Lodha\FlutterProjects\btp\lib\screens\test.dart", "Dart", 253, 4, 17, 274
"c:\Users\Sanyam Lodha\FlutterProjects\btp\lib\utils\dimensions.dart", "Dart", 11, 0, 5, 16
"c:\Users\Sanyam Lodha\FlutterProjects\btp\lib\widgets\symptom_column.dart", "Dart", 34, 0, 3, 37
"Total", "-", 1517, 26, 76, 1619